id,drug,ae,path_found
negsent1_376,"5-fluorouracil,cyclophosphamide,methotrexate",therapy,FALSE
pos_2454,morphine,"chronic nausea,confusion",FALSE
negsent1_486,adalimumab,treatment of moderate/severe psoriasis,FALSE
pos_1407,lithium,"focal seizure,prolonged seizure,serotonin syndrome",FALSE
pos_759,clozapine,akathisia,FALSE
negsent1_766,"simvastatin,cyclosporine","chronic posterior uveitis,hypercholesterolemia",FALSE
negsent1_1152,acyclovir,,FALSE
pos_3784,insulin,hypoglycaemia,FALSE
pos_2426,"sulfamethoxazole,trimethoprim","aseptic meningitis,hemolytic anemia,hepatitis,orthostatic hypotension",FALSE
pos_2645,ergotamine,"arterial spasm,fatal stroke",FALSE
pos_3181,amoxapine,oral-facial dyskinesia,FALSE
pos_2714,vancomycin,vasculitis,FALSE
pos_132,indinavir,angiolipomas,FALSE
pos_1199,"propylthiouracil,ptu",acute hepatic failure,FALSE
pos_3456,kw-2149,pulmonary toxicity,FALSE
pos_2648,clofazimine,nail changes,FALSE
pos_2314,sorafenib,"localized dyskeratotic plaque,milia",FALSE
pos_4120,risperidone,tardive dyskinesia,FALSE
pos_1684,"olanzapine,zyprexa","agranulocytosis,neutropenia",FALSE
negsent1_709,chloroquine,malaria,FALSE
pos_3302,bretylium,"cardiac arrests,fibrillation,ventricular tachycardia",FALSE
pos_758,risperidone,hypothermia,FALSE
pos_2328,sertraline,rhabdomyolysis,FALSE
pos_1063,clozapine,heatstroke,FALSE
negsent1_1368,sumatriptan,"migraine,acute headache",FALSE
pos_550,ethanol,subcutaneous metastasis,FALSE
negsent1_843,aspirin,"prophylaxis for vascular disease,meningiomas",FALSE
pos_2824,gold,pneumonitis,FALSE
pos_3257,asparaginase,antithrombin iii deficiency,FALSE
pos_3944,itraconazole,"drug eruption,primary cutaneous coccidioidomycosis",FALSE
negsent1_623,razoxane,,FALSE
negsent1_101,azithromycin,community-acquired pneumonia,FALSE
pos_4040,low-molecular weight heparin,skin necrosis,FALSE
pos_3064,ergot,"arteriospasm,gangrene of the extremities",FALSE
pos_457,salsalate,lichenoid drug eruption,FALSE
negsent1_502,"minoxidil,topical minoxidil,extemporaneous formulations of the drug",two deaths,FALSE
negsent1_226,"methotrexate,iopamidol","retrospective review,intravenous contrast medium,treatment",FALSE
pos_2150,aspirin,hemorrhage,FALSE
negsent1_851,"etoposide,oral etoposide",,FALSE
pos_92,danazol,hepatic adenomas,FALSE
pos_237,paclitaxel,"neurotoxicity,phantom limb pain",FALSE
pos_2080,alendronate,nodular scleritis,FALSE
negsent1_206,cisplatin,"carcinoma of the cervix with recurrent abdominal and thoracic disease,radiation for local control of pelvic disease",FALSE
negsent1_651,"risperidone,clozapine",treating psychosis in parkinsonian patients,FALSE
negsent1_855,adriamycin,,FALSE
negsent1_2,diphenylhydantoin,seizure control,FALSE
pos_3804,dapsone,"dapsone reaction,fatal",FALSE
pos_2062,itraconazole,acute hepatitis,FALSE
negsent1_200,"mirtazapine,lorazepam",,FALSE
negsent1_1299,"benztropine,tacrine",delirium,FALSE
pos_1201,propylthiouracil,acute hepatic failure,FALSE
negsent1_505,tamoxifen,"exploratory laparotomy,right adnexal mass,ovarian malignancy",FALSE
neg_169,olanzapine,akathisia,FALSE
pos_3915,praziquantel,large cerebral infarction,FALSE
pos_2807,calcium hopantenate,"pantothenic acid deficiency,reye-like syndrome",FALSE
pos_2438,cytosine arabinoside,"bulbar,pseudobulbar palsy",FALSE
pos_446,indinavir,"interstitial nephritis,nephrolithiasis",FALSE
negsent1_1491,olanzapine,"reduction in the dose,normalization of the white blood count",FALSE
pos_813,"infliximab,methotrexate",lupus-like syndrome,FALSE
pos_1728,"nevirapine,viramune",fulminant hepatitis,FALSE
pos_1401,baclofen,withdrawal syndrome,FALSE
pos_1597,hcq,cardiac arrhythmias,FALSE
negsent1_313,"morphine,morphine-6-glucuronide","clinically significant effects,mild renal insufficiency",FALSE
negsent1_660,"psoralens,psoralen",treatment of vitiligo,FALSE
pos_3926,colchicine,delay corneal wound healing,FALSE
pos_2478,erlotinib,ild,FALSE
negsent1_1092,procainamide,,FALSE
pos_2773,dapsone,hypersensitivity syndrome,FALSE
pos_409,cbz,seizures,FALSE
pos_61,insulin,hives,FALSE
pos_808,"5-aminosalicylic acid,5-asa","atrophy,gait disturbance,weakness,worsening of the dysesthesia",FALSE
pos_2041,pegaptanib,incomplete posterior hyaloid detachment,FALSE
pos_3897,esmolol,esmolol toxicity,FALSE
pos_1307,raloxifene,malignant mixed mesodermal tumor,FALSE
pos_523,octreotide,hepatolithiasis,FALSE
negsent1_148,"lopinavir,ritonavir,lopinavir/ritonavir",,FALSE
pos_903,bleomycin,scleroderma,FALSE
pos_21,mtx,neurotoxicity,FALSE
pos_1504,"lopinavir,ritonavir,valproic acid",bipolar disorder,FALSE
negsent1_671,"nortriptyline,norepinephrine","generalized grand mal seizures,hypotension",FALSE
pos_3389,mtx,"acute hypersensitivity reaction,severe dermatologic toxicity",FALSE
negsent1_1411,tamoxifen,"undesirable affects,chemotherapy",FALSE
negsent1_1079,"methimazole,subcutaneous granulocyte colony-stimulating factor",treatment,FALSE
pos_1541,ifosfamide,nonconvulsive status epilepticus,FALSE
negsent1_348,fluoxetine,"potentiation of serotonergic neurons,disinhibited release of saccades",FALSE
negsent1_254,"fluoxetine,amitriptyline,nortriptyline,imipramine,desipramine,protriptyline,trimipramine,tricyclics",,FALSE
neg_90,methylprednisolone,adrenal suppression,FALSE
negsent1_338,ranibizumab,injection,FALSE
pos_3749,methotrexate,accelerated nodulosis,FALSE
pos_4035,danazol,thrombocytopenia,FALSE
pos_388,valacyclovir,neurotoxicity,FALSE
negsent1_296,"cyclophosphamide,mitoxantrone",,FALSE
pos_3821,phenytoin,"abnormal liver function tests,erythroderma,fever,phenytoin hypersensitivity syndrome,pinhead-sized facial pustules,tibial and facial oedema",FALSE
pos_2603,procainamide,incessant orthodromic atrioventricular tachycardia,FALSE
pos_1972,methotrexate,diffuse papular eruption,FALSE
pos_986,tacrolimus,reflex sympathetic dystrophy syndrome,FALSE
pos_1438,srl,hepatoxicity,FALSE
pos_3319,perhexiline maleate,fatal perhexiline maleate liver injury,FALSE
pos_3993,tamoxifen,carcinogenic,FALSE
pos_3190,cephalosporin,coagulopathy,FALSE
negsent1_1444,reserpine,,FALSE
pos_144,ifosfamide,ifosfamide-induced encephalopathy,FALSE
pos_1174,rosiglitazone,severe hypo-alpha-lipoproteinemia,FALSE
negsent1_756,levamisole,,FALSE
pos_2428,"sulfamethoxazole,trimethoprim","aseptic meningitis,hemolytic anemia,hepatitis,orthostatic hypotension",FALSE
pos_134,clozapine,serum triglyceride levels increased,FALSE
pos_4196,pranlukast,tubulointerstitial nephritis,FALSE
pos_964,budesonide,"angioedema,dysphagia",FALSE
pos_1818,pentamidine,cutaneous ulceration,FALSE
pos_2566,ifosfamide,tubulopathies,FALSE
pos_1314,anti-d igiv,"acute hemoglobinemia,hemoglobinuria",FALSE
pos_673,amiodarone,visual changes,FALSE
pos_98,doxetaxel,glaucoma,FALSE
pos_1950,thalidomide,"multiple syncopal episodes,sustained ventricular tachycardia",FALSE
pos_999,ciprofloxacin,ten,FALSE
pos_3580,bromocriptine,schizophrenia,FALSE
pos_1123,indapamide,"diabetes,impairing carbohydrate metabolism",FALSE
negsent1_1063,desferrioxamine,,FALSE
pos_2674,amiodarone,thyrotoxicosis,FALSE
pos_1155,ciprofloxacin,acute renal insufficiency,FALSE
pos_875,"ciprofloxacin,piperacillin,tazobactam",thrombocytosis,FALSE
pos_2952,nifedipine,"hypotension,sinus arrest",FALSE
pos_2174,oxcarbazepine,"dress,drug reaction with eosinophilia and systemic symptoms",FALSE
negsent1_59,lithium,intravenous hydration therapy,FALSE
negsent1_54,vancomycin,,FALSE
negsent1_527,erlotinib,reticular infiltration,FALSE
pos_328,cyclophosphamide,hepatic angiosarcoma,FALSE
pos_2665,haloperidol,wes,FALSE
pos_2193,heparin,thrombosis,FALSE
negsent1_1459,rifabutin,conventional treatment,FALSE
pos_2892,"methimazole,propranolol","athelia,choanal atresia,mental retardation",FALSE
pos_792,insulin,"ascites,peripheral oedema,pleural effusion,severe anasarca",FALSE
pos_1777,perospirone hydrochloride,diabetic ketoacidosis,FALSE
pos_672,amiodarone hcl,"color vision anomalies,decreased vision,glare,visual ""shining",FALSE
pos_3759,captopril,severe cholestatic jaundice,FALSE
pos_2061,anastrozole,acute renal failure,FALSE
pos_3870,cresol,mh,FALSE
pos_3116,lithium carbonate,tremor,FALSE
pos_260,ritonavir,"clinical toxicity,diminishing carbamazepine metabolism,increase in serum levels",FALSE
negsent1_1392,heparin,"bilateral lower extremity arterial thrombi,lower extremity thrombectomies",FALSE
pos_653,valproate,valproate embryopathy,FALSE
pos_3985,lovastatin,rhabdomyolysis,FALSE
pos_2147,ivta,asppc,FALSE
negsent1_197,ciprofloxacin,"personality abnormalities,symptoms of psychosis",FALSE
pos_1343,"interferon-alfa,ribavirin",diabetes mellitus,FALSE
neg_75,clozapine,td,FALSE
negsent1_1154,cloxacillin,acute cellulitis,FALSE
pos_1243,"carmustine,gliadel",cerebral edema,FALSE
pos_190,nitrofurantoin,"distortion of the lung parenchyma,fibrosis,pulmonary toxicity,widespread reticular pattern",FALSE
pos_3496,gentamicin,renal failure,FALSE
negsent1_948,"gold,gold therapy",clinical course,FALSE
pos_3016,adenine arabinoside,"hyponatremia,syndrome of inappropriate antidiuretic hormone",FALSE
pos_693,"methazolamide,neptazane","acute respiratory failure,metabolic acidosis",FALSE
pos_3323,treosulfan,acute leukemia,FALSE
pos_1798,"infliximab,infliximab",osteomyelitis,FALSE
negsent1_1160,disulfiram,"catatonia,syndrome",FALSE
pos_1673,rituximab,bronchiolitis obliterans with organizing pneumonia,FALSE
pos_441,"ono-1078,pranlukast",interstitial pneumonia,FALSE
pos_2816,cyclophosphamide,porphyria cutanea tarda,FALSE
pos_2923,methimazole,cholestatic liver injury,FALSE
neg_88,lithium,renal failure,FALSE
negsent1_482,arginine,profound hyperkalemia,FALSE
pos_2315,sorafenib,atypical localized cutaneous eruption,FALSE
neg_118,etanercept,cd,FALSE
pos_3731,"halfan,mefloquine","cardiac arrests,deaths",FALSE
negsent1_543,brimonidine,symptoms,FALSE
pos_1189,"pegylated interferon alpha-2a,ribavirin","anemia,progressive malaise",FALSE
pos_643,mitomycin-c,hemolytic uremic syndrome,FALSE
pos_2792,timolol,ocular pemphigoid,FALSE
negsent1_678,milnacipran,piloerection,FALSE
negsent1_928,"colchicine,statin,statins",similar clinical and laboratory characteristics,FALSE
pos_1627,capecitabine,acute coronary syndrome,FALSE
negsent1_36,hydroxychloroquine,subtle perifoveal ophthalmoscopic pigmentary changes,FALSE
negsent1_73,"methotrexate,cytosine arabinoside","chemotherapy,prophylaxis,treatment of central nervous system leukemia",FALSE
pos_3477,tamoxifen,secretory carcinoma of the endometrium,FALSE
negsent1_920,"risperidone,antipsychotics",,FALSE
pos_172,ibuprofen,"dizziness,gi upset,mild sedation",FALSE
pos_2590,acyclovir,"fever,pleural effusion,pulmonary infiltrates",FALSE
pos_1102,prostaglandin,trichiasis,FALSE
negsent1_605,"levetiracetam,sodium valproate",,FALSE
negsent1_1130,haloperidol,delirium in critically ill adults,FALSE
negsent1_519,desmopressin,,FALSE
pos_428,taxol,peripheral neuropathy,FALSE
pos_3365,hycanthone,hepatotoxicity,FALSE
negsent1_946,captopril,drug-induced cutaneous reactions,FALSE
pos_3696,piritrexim,"abnormal chest x-ray with diffuse interstitial opacities,respiratory dysfunction",FALSE
negsent1_67,succinylcholine,mucositis,FALSE
pos_913,valproic acid,coma,FALSE
negsent1_58,oxaliplatin,,FALSE
pos_3582,methotrexate,"concurrent acute megaloblastic anaemia,pneumonitis",FALSE
pos_3400,ketorolac,ototoxicity,FALSE
negsent1_916,flupirtine,"membrane stabilizing,hyperpolarizing effects",FALSE
pos_3640,lithium,exophthalmos,FALSE
neg_126,dexamethasone,left ventricular outflow tract obstruction,FALSE
pos_1697,calcium stearate,acute eosinophilic pneumonia,FALSE
pos_12,"bh-ac,idarubicin",encephalopathy syndrome,FALSE
pos_3771,"ifosfamide,mesna",unresponsive,FALSE
pos_1521,"methotrexate,mtx",stroke-like leukoencephalopathy,FALSE
pos_645,cladribine,systemic vasculitis,FALSE
negsent1_1111,sulfadiazine,renal toxic reaction,FALSE
pos_2874,"ritodrine,terbutaline",pulmonary edema,FALSE
pos_504,ofloxacin,toxic epidermal necrolysis,FALSE
pos_4012,"ara-c,cytosine arabinoside","fever,gastrointestinal tract symptoms,infectious complications,severe myalgias",FALSE
pos_1923,methotrexate,pneumocystis carinii pneumonia,FALSE
pos_442,indinavir,renal colicky pain,FALSE
negsent1_1204,phenytoin,,FALSE
pos_50,clozapine,"agranulocytosis,neutropenia",FALSE
pos_1379,"corticosteroids,sodium hyaluronate",staphylococcus aureus knee arthritis,FALSE
pos_539,captopril,cutaneous side-effects,FALSE
pos_2644,metoclopramide,parkinsonism,FALSE
neg_100,clozapine,eosinophilia,FALSE
pos_448,indinavir,papillary necrosis,FALSE
pos_2998,rifampicin,renal insufficiency,FALSE
negsent1_451,"fluvoxamine,milnacipran","alpha(1)-adrenoceptor occupancy by endogenous norepinephrine was increased in a dose-dependent manner,fluvoxamine had essentially no effect",FALSE
negsent1_673,"gold,sulfur",immune complex deposition,FALSE
pos_4046,5-aminosalicylic acid,acute pancreatitis,FALSE
pos_1000,amifostine,fever,FALSE
pos_2340,carbamazepine,hyperammonemia,FALSE
pos_330,ara-c,"bullous lesions on the hands and soles that disseminated, evolving to necrosis,death,sepsis",FALSE
pos_3750,methotrexate,"macrophage activation syndrome,methotrexate toxicity",FALSE
pos_1688,olanzapine,"camptocormia,mild parkinsonian signs",FALSE
pos_4057,methicillin,nephropathy,FALSE
pos_3587,levo-dopa,diphasic dyskinesias,FALSE
pos_2036,"dextroamphetamine,methylphenidate","acral cyanosis,livedo reticularis,raynaud phenomenon",FALSE
pos_2638,penicillamine,nail-changes,FALSE
pos_4107,lamotrigine,ten,FALSE
pos_2359,bevacizumab,"acute vision loss,change of consciousness",FALSE
pos_2555,pyridostigmine bromide,bromide intoxication,FALSE
pos_4109,lamotrigine,fatal toxic epidermal necrolysis,FALSE
pos_3643,lithium,"severe exophthalmos,thyrotoxicosis",FALSE
pos_1833,lenalidomide,hypersensitivity pneumonitis-like syndrome,FALSE
pos_2660,morphine-6-glucuronide,respiratory depression,FALSE
pos_3108,fluoxetine,mania,FALSE
pos_1885,"cyclosporine,mmf,prednisone",anemia,FALSE
pos_3773,ifosfamide,central nervous system (cns) toxicity,FALSE
negsent1_520,"acyclovir,lithium",interfere with the renal excretion,FALSE
pos_898,sulfasalazine,"diffuse pulmonary shadowing,skin pigmentation",FALSE
pos_1926,leflunomide,"abdominal sepsis,cellulitis,disseminated herpes zoster,gastroenteritis,infection,lower respiratory tract infections,mycotic aneurysm,tb liver",FALSE
pos_4076,penicillamine,"acute dystonia,thalamic and brainstem lesions",FALSE
pos_912,13-cis-retinoic acid,acne fulminans,FALSE
negsent1_965,acetohexamide,,FALSE
pos_1886,oxcarbazepine,angioedema,FALSE
negsent1_973,adenosine,given in a standard fashion,FALSE
pos_1932,"carbamazepine,cbz,oxc,oxcarbazepine",status migrainosus,FALSE
negsent1_1151,olanzapine,,FALSE
pos_494,benztropine,"abdominal pain,confusion,distention",FALSE
pos_2141,ceftriaxone,fde,FALSE
pos_739,melphalan,gtbm,FALSE
negsent1_1212,carbamazepine,,FALSE
pos_2852,minoxidil,"arteriosclerotic disease,hypertension,myocardial infarction",FALSE
negsent1_7,cloxacillin,,FALSE
pos_3509,mannitol,"arf,nephrotoxicity",FALSE
